gameId,teamId,teamTricode,teamName,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,quarter,finalPoints
22200901,1610612745,HOU,Rockets,25,69,9,24,18,22,11,26,37,17,8,2,7,15,77,-9.0,3.0,101.0
22200453,1610612755,PHI,76ers,6,19,3,9,7,7,1,8,9,5,3,0,5,4,22,-1.0,1.0,99.0
22200453,1610612761,TOR,Raptors,8,17,1,7,6,8,1,11,12,5,2,1,6,6,23,1.0,1.0,99.0
22200453,1610612755,PHI,76ers,18,41,9,22,12,12,3,17,20,14,4,1,6,8,57,11.0,2.0,99.0
22200453,1610612761,TOR,Raptors,17,44,3,17,9,12,8,19,27,10,2,1,8,10,46,-11.0,2.0,99.0
22200453,1610612755,PHI,76ers,26,60,11,31,15,15,3,24,27,17,6,1,10,11,78,0.0,3.0,99.0
22200453,1610612761,TOR,Raptors,28,63,9,29,13,16,8,29,37,17,4,2,11,11,78,0.0,3.0,99.0
22200639,1610612746,LAC,Clippers,13,24,3,7,5,6,2,7,9,7,2,0,1,1,34,2.0,1.0,103.0
22200639,1610612743,DEN,Nuggets,14,21,4,8,0,0,0,8,8,10,0,1,3,4,32,-2.0,1.0,115.0
22200639,1610612743,DEN,Nuggets,23,41,7,17,4,5,3,18,21,16,0,2,6,6,57,-1.0,2.0,115.0
22200639,1610612746,LAC,Clippers,23,49,5,16,7,8,6,14,20,11,3,1,1,6,58,1.0,2.0,103.0
22200639,1610612743,DEN,Nuggets,34,62,10,26,8,12,5,27,32,22,3,3,8,9,86,5.0,3.0,115.0
22200639,1610612746,LAC,Clippers,32,67,8,23,9,12,7,23,30,16,5,2,5,11,81,-5.0,3.0,103.0
22200767,1610612749,MIL,Bucks,15,35,4,15,0,0,8,13,21,8,1,3,1,3,34,7.0,1.0,124.0
22200767,1610612766,CHA,Hornets,11,29,3,9,2,2,4,10,14,9,0,2,2,1,27,-7.0,1.0,115.0
22200767,1610612749,MIL,Bucks,27,59,7,23,3,3,10,22,32,14,1,5,6,9,64,0.0,2.0,124.0
22200767,1610612766,CHA,Hornets,24,59,7,18,9,10,11,19,30,17,3,4,4,7,64,0.0,2.0,115.0
22200767,1610612749,MIL,Bucks,36,80,13,36,12,12,14,34,48,18,3,7,10,16,97,7.0,3.0,124.0
22200767,1610612766,CHA,Hornets,33,85,10,29,14,18,16,27,43,23,5,4,6,14,90,-7.0,3.0,115.0
22200134,1610612737,ATL,Hawks,13,24,2,7,1,2,3,6,9,7,2,3,2,4,29,1.0,1.0,109.0
22200134,1610612740,NOP,Pelicans,11,28,2,4,4,6,9,9,18,4,1,1,2,3,28,-1.0,1.0,109.0
22200134,1610612737,ATL,Hawks,26,47,5,17,3,5,6,17,23,16,6,5,8,7,60,8.0,2.0,109.0
22200134,1610612740,NOP,Pelicans,21,49,3,9,7,9,9,16,25,8,3,2,7,8,52,-8.0,2.0,109.0
22200134,1610612737,ATL,Hawks,33,70,5,24,17,21,9,25,34,19,8,7,9,11,88,3.0,3.0,109.0
22200134,1610612740,NOP,Pelicans,34,77,6,15,11,15,15,27,42,17,4,3,10,18,85,-3.0,3.0,109.0
22200354,1610612737,ATL,Hawks,11,21,6,10,1,2,0,10,10,8,0,0,4,2,29,2.0,1.0,114.0
22200354,1610612760,OKC,Thunder,12,23,2,7,1,2,1,9,10,7,2,1,2,3,27,-2.0,1.0,121.0
22200354,1610612737,ATL,Hawks,24,49,8,20,3,5,6,20,26,14,3,2,8,4,59,5.0,2.0,114.0
22200354,1610612760,OKC,Thunder,24,51,5,16,1,2,6,15,21,15,5,1,7,8,54,-5.0,2.0,121.0
22200354,1610612737,ATL,Hawks,34,70,11,29,9,11,9,27,36,20,5,2,14,12,88,4.0,3.0,114.0
22200354,1610612760,OKC,Thunder,33,74,10,29,8,9,13,20,33,21,8,1,13,15,84,-4.0,3.0,121.0
22200776,1610612762,UTA,Jazz,12,23,3,9,4,4,3,13,16,8,0,7,6,4,31,6.0,1.0,131.0
22200776,1610612761,TOR,Raptors,10,35,1,5,4,4,10,8,18,6,5,0,1,3,25,-6.0,1.0,131.0
22200776,1610612761,TOR,Raptors,25,64,2,13,8,14,15,15,30,14,10,0,3,7,60,-5.0,2.0,131.0
22200776,1610612762,UTA,Jazz,24,43,9,23,8,8,3,24,27,16,2,10,11,11,65,5.0,2.0,131.0
22200776,1610612761,TOR,Raptors,38,90,6,18,13,20,23,20,43,22,11,1,5,13,95,-1.0,3.0,131.0
22200776,1610612762,UTA,Jazz,35,62,13,34,13,14,7,28,35,23,2,10,14,14,96,1.0,3.0,131.0
22200372,1610612762,UTA,Jazz,10,21,2,7,8,9,3,10,13,3,1,3,4,3,30,-5.0,1.0,124.0
22200372,1610612744,GSW,Warriors,14,30,5,10,2,2,5,8,13,8,0,1,2,5,35,5.0,1.0,123.0
22200372,1610612744,GSW,Warriors,25,52,7,19,12,16,9,15,24,14,2,1,8,9,69,3.0,2.0,123.0
22200372,1610612762,UTA,Jazz,24,44,5,13,13,15,4,16,20,11,3,5,8,9,66,-3.0,2.0,124.0
22200372,1610612744,GSW,Warriors,32,72,11,32,16,20,9,22,31,20,3,2,11,14,91,-9.0,3.0,123.0
22200372,1610612762,UTA,Jazz,37,68,12,26,14,17,7,25,32,19,4,6,11,13,100,9.0,3.0,124.0
22200558,1610612744,GSW,Warriors,15,27,7,14,1,2,1,12,13,10,2,0,2,1,38,12.0,1.0,121.0
22200558,1610612737,ATL,Hawks,11,24,2,11,2,2,1,12,13,5,0,2,3,2,26,-12.0,1.0,121.0
22200558,1610612737,ATL,Hawks,20,47,2,16,11,16,5,21,26,10,2,4,6,8,53,-17.0,2.0,121.0
22200558,1610612744,GSW,Warriors,27,50,10,22,6,10,3,24,27,20,3,1,7,10,70,17.0,2.0,121.0
